account_key,account_name,bd_segment,account_tier,tier_rank,account_fit_score,fit_score_band,city,riyadh_presence,riyadh_verification_level,is_riyadh_present,is_riyadh_verified,size_estimate_proxy,is_listed_proxy,business_signal,has_dated_trigger,signal_year,account_status,in_pipeline,open_task_count,completed_task_count,research_source_url,domain
447978318037,Flynas,Transport & logistics,A,1,76,70-79,Riyadh,Riyadh HQ,Partially verified,true,false,Large listed airline,true,Main Market IPO (Jun 2025); 2026 plan for 300 Saudi pilot trainees; SAR 200m+ crew training centre in Riyadh (2028) (2026),true,2026,Pending,false,0,0,https://afm.aero/flynas-begins-2026-future-pilots-assessments-for-300-trainee-saudi-pilot-plan,flynas.com
447992494328,Unifonic,Technology & platforms,C,3,41,Below 50,Not captured,Not verified,Not verified,false,false,VC-backed,false,No dated trigger captured (Not captured),false,,Active,false,0,0,https://www.seedtable.com/best-startups-in-riyadh,
447978318036,Ladun Investment Co.,"Construction, real estate & industrial",B,2,65,60-69,Not captured,Riyadh operations,Verified,true,true,Listed,true,Awarded Namar land infrastructure project by Royal Commission for Riyadh City (May 2026) (2026-05),true,2026,Active,false,0,0,https://www.sahmcapital.com/news/content/ladun-investment-wins-sar-327m-riyadh-infrastructure-project-2026-05-05,
448043997423,Tamara,Financial services & fintech,C,3,52,50-59,Riyadh,Riyadh HQ,Partially verified,true,false,Late-stage private,false,Riyadh-based BNPL platform; no dated trigger captured (Not captured),false,,Active,false,0,0,https://www.seedtable.com/best-startups-in-riyadh,tamara.co
448044208376,Lean Technologies,"Construction, real estate & industrial",C,3,54,50-59,Riyadh,Riyadh HQ,Partially verified,true,false,VC-backed,false,No dated trigger captured (Not captured),false,,Active,false,0,0,https://www.seedtable.com/best-startups-in-riyadh,
448049708244,Arabian Co. for Agricultural & Industrial Investment (Entaj),"Construction, real estate & industrial",B,2,64,60-69,Not captured,Not verified,Partially verified,false,false,Listed,true,Main Market IPO (Mar 2025); 26+ farms; stated plan to invest in infrastructure and workforce (2025-03),true,2025,Active,false,0,0,https://www.agbi.com/finance/2025/03/poultry-producer-entaj-to-list-on-the-saudi-stock-market/,entaj.com
448012991697,Tabby,Financial services & fintech,C,3,56,50-59,Riyadh,Riyadh HQ,Partially verified,true,false,"Large late-stage private (a secondary source cites ~4,000 staff - not verified)",false,Preparing Saudi IPO (advisers appointed); Series E at USD 3.3bn (2025-2026),true,2025,Active,false,0,0,https://www.financemiddleeast.com/news/tabby-eyes-2026-ipo-as-valuation-climbs-to-3-3-billion/,tabby.ai
448049660109,Al-Rashid Trading & Contracting Co.,"Construction, real estate & industrial",C,3,50,50-59,Not captured,Not verified,Not verified,false,false,Very large contractor,false,Expressed interest in Qiddiya high-speed rail (2025-11),true,2025,Active,false,0,0,https://www.blackridgeresearch.com/blog/list-of-largest-top-construction-epc-companies-contractors-in-riyadh-jeddah-kingdom-of-saudi-arabia-ksa,
448050150623,Dr. Sulaiman Al Habib Medical Group,Healthcare,B,2,68,60-69,Not captured,Riyadh operations,Verified,true,true,Very large listed group,true,"SAR 991m, 160-bed Riyadh hospital; construction Q4 2025 - Q4 2028 (2025)",true,2025,Active,false,0,0,https://www.saudiexchange.sa/wps/portal/saudiexchange/newsandreports/issuer-news/issuer-announcements,
447952146624,Dallah Healthcare Co.,Healthcare,B,2,74,70-79,Not captured,Riyadh operations,Verified,true,true,Large listed group: 13 hospitals,true,New 250-bed Riyadh hospital expected 1Q27 (broker research); acquisition-led growth (2027 (planned)),false,,Active,false,0,0,https://www.saudiexchange.sa/wps/portal/saudiexchange/hidden/company-profile-main,dallahhealth.com
448044209338,Al Ramz Real Estate Co. (Alramz),"Construction, real estate & industrial",B,2,69,60-69,Riyadh,Riyadh HQ,Verified,true,true,Listed,true,Main Market IPO (Dec 2025) (2025-12),true,2025,Active,false,0,0,https://argaamplus.s3.amazonaws.com/9026d8ee-81fd-461b-b9a7-52ea654a1cfa.pdf,ir.alramzre.com
448049602788,Basma Adeem Medical Co. (Smile Care),Healthcare,B,2,68,60-69,Riyadh,Riyadh HQ,Verified,true,true,Small listed (Nomu),true,Non-binding MoU (Sep 2026) to acquire a 3-branch dental complex in Qassim; Nomu listing Feb 2025 (2026-09),true,2026,Active,false,0,0,https://www.argaam.com/en/article/articledetail/id/1781899,
448043909360,Floward,"Retail, e-commerce & F&B",C,3,52,50-59,Not captured,Not verified,Not verified,false,false,VC-backed,false,Reported to be weighing a Saudi listing (2024) (2024),true,2024,Active,false,0,0,https://gulfnews.com/business/markets,
448043909359,Abdullah Al-Othaim Markets,"Retail, e-commerce & F&B",B,2,61,60-69,Riyadh,Riyadh HQ,Partially verified,true,false,Large listed retailer,true,476 stores (415 in KSA) by end-2025 (2025-12),true,2025,Active,false,0,0,https://en.wikipedia.org/wiki/Abdullah_Al-Othaim_Markets,othaimmarkets.com
448049743062,National Company for Learning & Education (NCLE),Education & training,B,2,64,60-69,Not captured,Not verified,Partially verified,false,false,Listed,true,Listed; no dated trigger captured (Not captured),false,,Active,false,0,0,https://www.argaam.com/en/article/articledetail/id/1869916,
447995572453,Saleh Abdulaziz Al Rashed & Sons Co.,"Construction, real estate & industrial",B,2,74,70-79,Riyadh,Riyadh HQ,Verified,true,true,Listed,true,"First Main Market IPO of 2026 (Feb 2026); 7 quarries, 17 distribution outlets (2026-02)",true,2026,Active,false,0,0,https://www.agbi.com/construction/2025/09/saudi-building-materials-company-given-ipo-approval/,
448044163264,Humain,Technology & platforms,B,2,67,60-69,Riyadh,Riyadh HQ,Partially verified,true,false,New national-scale entity,false,Newly established national AI company building capacity (2025),true,2025,Active,false,0,0,https://www.seedtable.com/best-startups-in-riyadh,
448049602790,Saudi Arabian Trading & Construction Co. (SATCO) - probable match,"Construction, real estate & industrial",A,1,81,80-100,Not captured,Not verified,Partially verified,false,false,Multi-division private group,false,Public posting: HR Director to lead HR transformation across business divisions and implement consulting deliverables (2026),true,2026,Pending,false,0,0,https://www.bayt.com/en/saudi-arabia/jobs/culture-transformation-jobs/,satco.sa
448043964636,Lucidya,Technology & platforms,C,3,55,50-59,Riyadh,Riyadh HQ,Partially verified,true,false,Scale-up,false,USD 30m Series B (2025) (2025),true,2025,Active,false,0,0,https://growthlist.co/saudi-arabia-startups/,
448044126448,Lumi Rental,Transport & logistics,B,2,74,70-79,Riyadh,Riyadh HQ,Partially verified,true,false,Listed,true,Listed 2023; motorcycle rentals launched in Riyadh and Jeddah (2024) (2024-07),true,2024,Active,false,0,0,https://en.wikipedia.org/wiki/Lumi_Rental,lumirental.com
448001216710,Al Romansiah Restaurants Co.,"Retail, e-commerce & F&B",B,2,68,60-69,Not captured,Not verified,Partially verified,false,false,50 branches,false,CMA approved IPO (Sep 2025); listing completion not verified (2025-09),true,2025,Active,false,0,0,https://www.zawya.com/en/capital-markets/equities,alromansiah.com
